1 0 0.8081 2048 1024 30 0.01 1024 4 False 0.562 0.5855 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_0.pkl
1 1 0.7721 2048 1024 40 0.01 1024 4 False 0.562 0.5857 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_1.pkl
1 2 0.7901 2048 1024 50 0.01 1024 4 False 0.562 0.5857 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_2.pkl
1 3 0.7863 2048 1024 60 0.01 1024 4 False 0.562 0.586 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_3.pkl
1 4 0.7917 2048 1024 70 0.01 1024 4 False 0.562 0.5852 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_4.pkl
1 5 0.7477 2048 1024 80 0.01 1024 4 False 0.562 0.5857 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_5.pkl
1 6 0.8085 2048 1024 90 0.01 1024 4 False 0.562 0.5855 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_6.pkl
1 7 0.7931 2048 1024 100 0.01 1024 4 False 0.562 0.5852 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version1_resnet56_after_model_7.pkl

2 0 0.8001 2048 1024 80 0.01 128 4 True 0.562 0.5855 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version2_resnet56_after_model_0.pkl
2 1 0.7781 2048 1024 80 0.01 256 4 True 0.562 0.585 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version2_resnet56_after_model_1.pkl
2 2 0.7813 2048 1024 80 0.01 512 4 True 0.562 0.5855 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version2_resnet56_after_model_2.pkl
2 3 0.7545 2048 1024 80 0.01 1024 4 True 0.562 0.5855 [0, 1, 2, 3, 4] 版本备注:无 /kaggle/working/version2_resnet56_after_model_3.pkl
