0 0 0.9551 128 128 20 0.001 128 4 False 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:加上leaky_relu ./models/ResNet/version0_resnet56_after_model_0.pkl
0 1 0.9597 128 128 50 0.001 128 4 False 0.74 0.4704 [0, 1, 2, 3, 4] 版本备注:加上leaky_relu ./models/ResNet/version0_resnet56_after_model_1.pkl
0 2 0.9571 128 128 80 0.001 128 4 False 0.74 0.4686 [0, 1, 2, 3, 4] 版本备注:加上leaky_relu ./models/ResNet/version0_resnet56_after_model_2.pkl
0 0 0.9551 128 128 50 0.001 8 4 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:加上leaky_relu ./models/ResNet/version0_resnet56_after_model_0.pkl
0 1 0.9603 128 128 50 0.001 16 4 True 0.74 0.4684 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_1.pkl 
0 2 0.9551 128 128 50 0.001 32 4 True 0.74 0.4679 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_2.pkl 
0 3 0.9597 128 128 50 0.001 64 4 True 0.74 0.4659 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_3.pkl 
0 4 0.9533 128 128 50 0.001 128 4 True 0.74 0.4743 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_4.pkl 
0 5 0.9579 128 128 50 0.001 256 4 True 0.74 0.4726 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_5.pkl 
0 0 0.9553 128 128 50 0.001 4 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 1 0.9597 128 128 50 0.001 8 1 True 0.74 0.4684 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_1.pkl 
0 2 0.9565 128 128 50 0.001 16 1 True 0.74 0.4679 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_2.pkl 
0 3 0.9601 128 128 50 0.001 32 1 True 0.74 0.4659 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_3.pkl 
0 4 0.9551 128 128 50 0.001 64 1 True 0.74 0.4743 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_4.pkl 
0 5 0.9577 128 128 50 0.001 128 1 True 0.74 0.4726 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_5.pkl 
0 6 0.9553 128 128 50 0.001 256 1 True 0.74 0.4681 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version0_resnet56_after_model_6.pkl 
1 0 0.9491 128 4 50 0.001 128 1 False 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 1 0.9581 128 8 50 0.001 128 1 False 0.74 0.4684 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_1.pkl 
1 2 0.9555 128 16 50 0.001 128 1 False 0.74 0.4679 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_2.pkl 
1 3 0.9581 128 32 50 0.001 128 1 False 0.74 0.4659 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_3.pkl 
1 4 0.9539 128 64 50 0.001 128 1 False 0.74 0.4743 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_4.pkl 
1 5 0.9587 128 128 50 0.001 128 1 False 0.74 0.4726 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_5.pkl 
1 6 0.9615 128 256 50 0.001 128 1 False 0.74 0.4681 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_6.pkl 
1 0 0.9577 128 256 50 0.001 128 1 False 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_0.pkl 
1 1 0.9619 128 512 50 0.001 128 1 False 0.74 0.4684 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_1.pkl 
1 2 0.9617 128 1024 50 0.001 128 1 False 0.74 0.4679 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version1_resnet56_after_model_2.pkl 
2 0 0.9529 128 16 50 0.001 0 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_0.pkl 
2 1 0.9585 128 16 50 0.001 2 1 True 0.74 0.4684 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_1.pkl 
2 2 0.9519 128 16 50 0.001 4 1 True 0.74 0.4679 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_2.pkl 
2 3 0.9585 128 16 50 0.001 8 1 True 0.74 0.4659 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_3.pkl 
2 4 0.9483 128 16 50 0.001 16 1 True 0.74 0.4743 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_4.pkl 
2 5 0.9537 128 16 50 0.001 32 1 True 0.74 0.4726 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_5.pkl 
2 6 0.9437 128 16 50 0.001 64 1 True 0.74 0.4681 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_6.pkl 
2 7 0.9327 128 16 50 0.001 128 1 True 0.74 0.4723 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_7.pkl 
2 8 0.9423 128 16 50 0.001 256 1 True 0.74 0.4684 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_8.pkl 

2 0 0.9529 128 16 50 0.001 0 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_0.pkl
2 1 0.9511 128 16 50 0.001 2 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_1.pkl 
2 2 0.9515 128 16 50 0.001 4 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_2.pkl 
2 3 0.9527 128 16 50 0.001 8 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_3.pkl 
2 4 0.9511 128 16 50 0.001 16 1 True 0.74 0.4733 [0, 1, 2, 3, 4] 版本备注:无 ./models/ResNet/version2_resnet56_after_model_4.pkl 
