0 0 0.9589 128 16 50 0.001 0 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 1 0.9603 128 16 50 0.001 2 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 2 0.9589 128 16 50 0.001 4 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 3 0.9577 128 16 50 0.001 8 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 4 0.9573 128 16 50 0.001 16 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 5 0.9591 128 16 50 0.001 32 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 6 0.9571 128 16 50 0.001 64 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 7 0.9585 128 16 50 0.001 128 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 8 0.9585 128 16 50 0.001 256 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 

0 0 0.9595 128 32 50 0.001 0 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 1 0.9607 128 32 50 0.001 2 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 2 0.9599 128 32 50 0.001 4 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 3 0.9591 128 32 50 0.001 8 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 4 0.9603 128 32 50 0.001 16 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 5 0.9587 128 32 50 0.001 32 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 6 0.9605 128 32 50 0.001 64 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 7 0.9583 128 32 50 0.001 128 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 8 0.9585 128 32 50 0.001 256 1 True 0.67 0.4654 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 

0 0 0.9519 128 2 50 0.001 0 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 1 0.9519 128 2 50 0.001 2 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 2 0.9521 128 2 50 0.001 4 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 3 0.9581 128 2 50 0.001 8 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 4 0.9515 128 2 50 0.001 16 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 5 0.9525 128 2 50 0.001 32 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 6 0.9487 128 2 50 0.001 64 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 7 0.9527 128 2 50 0.001 128 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 
0 8 0.9557 128 2 50 0.001 256 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu ./models/ResNet/version0_resnet56_after_model_0.pkl 

0 0 0.9541 128 4 50 0.001 0 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 1 0.9575 128 4 50 0.001 2 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 2 0.9561 128 4 50 0.001 4 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 3 0.9593 128 4 50 0.001 8 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 4 0.9515 128 4 50 0.001 16 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 5 0.9559 128 4 50 0.001 32 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 6 0.9549 128 4 50 0.001 64 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 7 0.9567 128 4 50 0.001 128 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
0 8 0.9569 128 4 50 0.001 256 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl

0 0 0.9571 128 8 50 0.001 0 1 True 0.67 0.4647 [0, 1, 2, 3, 4] 版本备注:使用min，使用relu /kaggle/working/version0_resnet56_after_model_0.pkl
